Well Name,INPT ID,"EUR (MBBL, MMCF)","EUR/FT (BBL/FT, MCF/FT)",Phase
Well #84,INPT.g4m0dn1Q1s,280.70351818540547,66.83417099652512,oil
Well #85,INPT.GR7DI4wqMn,309.4130406515107,73.66977158369302,oil
Well #86,INPT.U5kHhW3ZYM,141.7476934894995,40.04172132471737,oil
Well #87,INPT.udVFaiKMos,101.61518427334825,20.90847413031857,oil
Well #88,INPT.Ib8osLqEzT,230.63224487731188,65.15035166025758,oil
Well #89,INPT.JQSXz0TZkB,341.93934979019235,81.41413090242675,oil
Well #90,INPT.eiUTSBeEuN,473.24548922519386,112.67749743456997,oil
Well #91,INPT.l9GJtaIHXK,146.94220990608906,34.98624045383073,oil
Well #92,INPT.FR1fJ9XHFx,308.99926253945904,73.57125298558549,oil
Well #93,INPT.KiruMI4bnA,545.6243793747352,135.08897731486388,oil
Well #94,INPT.5otYfATeJk,252.50529844528094,54.72589909954073,oil
Well #95,INPTJFig6FIPsQ,538.6185387598439,55.68843452851984,oil
Well #96,INPTXrObfAMcMq,612.7679917,62.14055285959314,oil
Well #97,INPToUbdUOa4Uj,845.3411129166399,116.29400370293574,oil
Well #98,INPTNGAVpyXs58,298.68011200646754,49.507726173788754,oil
Well #99,INPTehy1E1z3Mk,596.4720751953964,97.94286949021289,oil
Well #100,INPTkpHZBGUk27,238.29058757589328,65.08893405514702,oil
Well #101,INPTWW9H9pAcER,342.3661133694122,75.91266371827321,oil
Well #102,INPT.mBsatMIhGT,24.43478,15.663320512820512,oil
Well #103,INPTcjHOOgUQj8,291.90244638042714,29.785963916370115,oil
Well #104,INPTO4hmgrY3vD,215.95972687997977,21.84500575358889,oil
Well #105,INPTm3U652Fv61,432.02523320155706,43.507072829965466,oil
Well #106,INPTWYFW1PtTG1,1562.2357256071568,164.44586585338493,oil
Well #107,INPTwRfXMAa25j,2082.265688732728,216.99308969703296,oil
Well #108,INPTkX7rsrT2v3,882.7407241,92.55958101108934,oil
Well #109,INPTxffSHOs4H6,950.9233371208333,99.99193870881527,oil
Well #110,INPTnqRDDap0gx,1529.4434850004823,159.7330010444368,oil
Well #111,INPT.MNVC83IpOf,474.05702539216566,106.62551178411283,oil
Well #112,INPT.XufvW4n0NN,404.57045300771205,77.74220849,oil
Well #113,INPT.lRu6NH2MdY,362.24971146795656,81.11278805820791,oil
Well #114,INPT.tc2NJGszTg,230.21671190597422,52.21517620911187,oil
Well #115,INPT.wj3nqbOMNA,385.2563093095133,85.17716323447121,oil
Well #116,INPT.ZIfFQZp1k0,597.3287718,84.34464442950495,oil
Well #117,INPT.O51CwJnvBH,526.7807587162811,74.71007782105815,oil
Well #118,INPT.KbbK6n0A5G,513.6572307990813,72.14286949425299,oil
Well #119,INPTZ55XSzWw9C,244.91348327494833,55.24779681365854,oil
Well #120,INPTt2g3ce9cIS,124.27151351976825,34.35762054735091,oil
Well #121,INPTSZiXzbMVwr,678.2279476,101.00192815690261,oil
Well #122,INPT.x9HEEaZYsd,819.1465145370704,87.56242806382367,oil
